"Cluster_ID","Auto_Label","Top_Keywords_Metrics","Cluster_Size"
1,"EXERCISE","EXERCISE (36); NUTRITION (36); MICROBIOME (31); MICROBIOTA (27); ATHLETES (23)",18
2,"PHYSICAL ACTIVITY","PHYSICAL ACTIVITY (33); INFLAMMATION (18); MACHINE LEARNING (17); DIABETES (14); AGING (13)",17
3,"PERFORMANCE","PERFORMANCE (20); METABOLOMICS (19); HEALTH (17); ENDURANCE (14); METABOLISM (13)",9
4,"DIET","DIET (16); SLEEP (16); SPORTS (12); MENTAL HEALTH (10); WEIGHT LOSS (9)",6
